"","nomem_encr","Extraversion","Agreeableness","Conscientiousness","Emotional_stab","Openness","Self_esteem"
"145",802117,2.5,2.7,3.8,3,3.5,4.69
"146",802145,3.2,3.2,3.5,2.3,2.7,4.85
"147",802188,2.7,2.5,4.2,2.3,2.7,4.46
"148",802221,4.1,3,4,4.4,4.3,6.62
"149",802236,3.7,3.7,4.2,3.9,3.7,6.23
"150",802252,3.1,3.6,3.2,3.6,4,6.46
"151",802264,2.5,3.1,3.4,2.7,3.5,4.23
"152",802322,3.2,3.4,3.3,4.4,3.3,6.92
"153",802340,4.5,4.5,3.3,3.9,4.1,6.62
"154",802346,2.7,3.7,4.3,4.8,3.6,6.38
"155",802355,2.7,3.5,3.6,3.3,3.5,5.31
"156",802365,2.8,3.3,3.3,4.1,3.2,5.23
"157",802377,2.8,3.7,3.7,3.1,3.5,4.54
"158",802395,4,4.1,4.1,4,4,7
"159",802398,3,3.7,3.7,3.7,3,5.23
"160",802447,3.1,4.2,3.7,2.4,2.9,4.77
"161",802462,3.1,3.4,3.8,4.7,3.4,5.85
"162",802471,3.2,3.9,4.6,3.5,3.3,6.31
"163",802484,2.4,3.9,4.1,3.2,2.9,5.23
"164",802542,3.9,4.4,4,4.3,3.4,6.38
"165",802551,3.5,3.4,3.6,4.4,3.5,5.92
"166",802557,2.8,3.1,3.3,4,3.7,5.23
"167",802578,4.2,4.4,3.4,4.7,3.7,5.92
"168",802587,3.9,4.1,4,3.8,4.5,6.54
"169",802593,3.3,4.2,3.6,3,3.7,6.54
"170",802597,4.1,4,3.4,2.9,3.1,6
"171",802612,4.8,4.5,4.4,5,4.4,6.54
"172",802636,3.3,4.3,4.1,3.5,2.7,6.69
"173",802743,2.6,3.7,3.2,3.2,3.3,5.85
"174",802761,3.9,4.6,4.3,3.6,4.1,4.85
"175",802770,4,3.8,3.5,3.8,4.3,5.92
"176",802819,2.6,4.1,4.2,2.9,3.2,3.92
"177",802835,2.8,3.2,2.9,3.2,2.1,4.23
"178",802850,4,4.5,4.7,2.4,3.1,5.92
"179",802859,2.7,4.6,4.1,3.1,2.9,6.15
"180",802871,3.8,3.5,3.8,3.3,3.9,5.62
"181",802883,2.4,3.7,4.5,3.7,3.7,5.85
"182",802902,3.7,4.6,3.9,1.8,3.7,4.38
"183",802908,3.8,4,3.7,3.5,3.1,6.15
"184",802911,3,3.6,3.6,4,3.5,7
"185",802920,3.7,3.9,3.4,3.4,3.3,5.31
"186",802947,4,4.8,4.8,4,3.6,6.77
"187",802981,2,3.4,4.4,2.5,3.2,4.31
"188",802984,2.6,3.7,4.1,2.9,4.2,6.92
"189",802987,2.8,3.8,4,4.1,3.7,5.38
"190",803012,3.9,4.3,3.9,2.6,3.9,5.77
"191",803033,3.9,4.5,4.3,4.7,4.3,7
"192",803063,2.3,3.8,3.8,2.5,3.2,4.46
"193",803076,3.7,3.6,4.3,4,3.7,6.46
"194",803094,3.4,4.3,3.7,2.3,3,5.23
"195",803100,3.6,3.9,3.4,3.8,3.7,6.54
"196",803125,2.1,3.4,3.5,1.7,3.7,3.08
"197",803152,4.4,4.3,2.3,4,3.5,6.08
"198",803155,2.8,3.6,4,4.1,3.1,5.31
"199",803201,2.9,3,3,3.1,2.9,4
"200",803237,3.3,3.7,3.4,4.1,2.9,5.77
"201",803268,3.4,3.5,3.7,4.6,3.7,5.69
"202",803277,3.5,3.4,3.5,2.7,3.2,4.92
"203",803280,4,2.9,3.1,4.3,3.6,6.15
"204",803356,3.9,4,3.8,3.3,3.7,6.54
"205",803366,3.1,3.6,3.3,3.3,2.7,5.23
"206",803408,3.7,4,4.2,4.8,3.7,6.77
"207",803445,4.1,4.6,4.7,4.7,3.8,6.62
"208",803454,3.5,2.9,3.5,2.8,3,4.23
"209",803472,3.3,3.9,4.5,3,3.4,6
"210",803500,3.1,3.8,3.6,2.8,3.5,5.69
"211",803503,3.3,3.6,3.4,2.5,3.6,3.92
"212",803506,4.2,4,3.5,4.3,3.7,6.77
"213",803515,2.2,3.7,4.4,5,3,6.77
"214",803536,2.9,3.5,4.6,2.6,4.1,5.46
"215",803555,1.4,3.8,4.4,2.2,4.1,4.38
"216",803567,3.7,3.9,4.4,3.6,3.8,7
"217",803570,3.1,3.6,3,3.5,2.7,4.23
"218",803582,3.4,3.7,3.2,4,2.6,6.15
"219",803616,3,3,3,3,3,4
"220",803619,3.7,3.5,3.7,4.3,3.5,5.62
"221",803643,4.2,4.7,4.7,4.1,3.9,6.92
"222",803656,4.2,3.6,3.2,3.2,3.2,5.54
"223",803662,3.5,4.1,4.2,4.9,3.4,6.38
"224",803674,3.3,4,4,3.8,3.2,5.08
"225",803695,3.4,3.6,3.7,3,3.4,6.15
"226",803717,2.6,3.9,3.6,3,3.7,5.23
"227",803723,3,3,3,3,3,4.23
"228",803729,3.4,3.9,3.9,4,3.6,6.23
"229",803732,3.2,3.8,3.6,3.6,3.3,5.69
"230",803747,2.1,2.9,3.8,1.9,2.8,3.85
"231",803765,3.3,3.1,3.5,2.9,3.3,4.23
"232",803775,2.7,3.7,3.2,3.2,2.9,4
"233",803787,3.1,3.2,2.6,2.9,3.4,5.38
"234",803796,2,3.2,3.9,2.8,2.5,4.23
"235",803799,3.2,4.2,4.2,4,3.2,5.23
"236",803802,1.7,3.5,3.1,1.9,3.1,2.38
"237",803805,3,3.9,4.7,3.6,3.8,5.62
"238",803811,2.8,3.5,3.8,4.2,2.8,5.69
"239",803829,3.3,4.1,3.6,3.1,3.2,5.54
"240",803842,2.5,4.4,4.4,2.8,4.2,5.23
"241",803854,3.6,3.2,4,4.4,3.8,6.08
"242",803863,3.4,4.6,4.5,2.8,4.5,6.77
"243",803869,3.7,3.6,3.7,2.5,2.8,4.46
"244",803906,2.9,3.9,4.1,3.2,3.8,6
"245",803924,2,3.3,4.1,3.6,4.8,6.23
"246",803936,3.1,4.5,4.8,4.9,3.7,6.92
"247",803952,2.8,3.5,3.7,3,3.3,6.46
"248",803961,3,3.7,2.9,3.8,2.7,4.23
"249",803976,3.1,3.9,3.9,4.5,3.3,6.23
"250",804019,3.3,3.3,4.9,3.2,4.1,5.92
"251",804031,3.5,3.9,3.6,3.3,3.2,5.62
"252",804049,3.6,4,3.7,4,3.6,6
"253",804061,2.8,3.7,4.2,3.3,3.6,6.54
"254",804067,3.6,4.2,3.3,2.6,3.6,5.08
"255",804074,1.8,3.6,3.9,3.9,4.2,6.23
"256",804077,3.1,3.7,3.3,4.4,3.8,5.92
"257",804083,3,4.4,3.7,3.6,3.1,4.92
"258",804098,2.9,3.9,4,2.2,4.4,4.31
"259",804104,2.9,4.4,4.4,4.5,3,6.31
"260",804116,2.7,3,4,2.7,3.7,4.77
"261",804132,4.2,4.8,4.6,3.3,4,5.46
"262",804144,2.3,3.5,3.7,3.3,3.3,1
"263",804187,3,3.9,3.2,2.1,3.2,3.54
"264",804196,3.4,3.6,4.4,4.6,4.4,6.38
"265",804220,3.9,4.5,4.2,4,3.7,6.31
"266",804226,3.8,4.7,4.3,4.2,3.7,6.46
"267",804251,3.3,3.9,3.7,3,3,5.92
"268",804257,3.8,3.8,3.6,3.8,3.4,5.31
"269",804269,3.4,3.5,3.4,2.8,3.2,4.92
"270",804293,4.1,3.5,4.4,3.7,4.9,6.85
"271",804296,3.4,4,3.3,3.9,3.4,5.92
"272",804354,1.5,4.1,3.7,3.3,4,5.69
"273",804360,2.7,3.2,3,2.5,4.3,3.38
"274",804394,3.4,3.7,3.4,3.7,3.6,4.85
"275",804406,4.4,4.6,4.1,3.5,4.5,6.62
"276",804412,3,3.6,3.3,2.6,3.5,4.54
"277",804455,3,3.9,3.1,4,3.5,5.62
"278",804473,2.2,3.5,3.3,2.9,3.4,6
"279",804476,4.6,4.2,4.5,3.3,4.2,6.62
"280",804483,3.7,4,3.9,3.3,3.6,6.31
"281",804489,3.7,3.4,4.9,4.7,4.1,6.77
"282",804495,3.6,4.4,4.5,3.5,4.3,6.85
"283",804498,1.5,3.5,3.5,1.4,3,2.85
"284",804516,3.3,3.6,3.7,3.4,3.1,4.62
"285",804522,3.5,3,2.7,4.9,3.2,6.54
"286",804556,3,3.7,4,4.2,4.3,5.08
"287",804562,2.6,4.2,4.4,3.6,3.4,6.15
